2023-01-30,OFF
2023-01-31,ND
2023-02-01,ND
2023-02-02,OFF
2023-02-03,NOC
2023-02-04,NOC
2023-02-05,NOC
2023-02-06,OFF
2023-02-07,OFF
2023-02-08,OFF
2023-02-09,OFF
2023-02-10,OFF
2023-02-11,OFF
2023-02-12,OFF
2023-02-13,ND
2023-02-14,ND
2023-02-15,ND
2023-02-16,ND
2023-02-17,ND
2023-02-18,OFF
2023-02-19,OFF
2023-02-20,ND
2023-02-21,ND
2023-02-22,ND
2023-02-23,ND
2023-02-24,ND
2023-02-25,OFF
2023-02-26,OFF
2023-02-27,DOC
2023-02-28,DOC
2023-03-01,OFF
2023-03-02,DOC
2023-03-03,DOC
2023-03-04,OFF
2023-03-05,OFF
2023-03-06,ND
2023-03-07,ND
2023-03-08,DOC
2023-03-09,OFF
2023-03-10,OFF
2023-03-11,DOC
2023-03-12,DOC
2023-03-13,OFF
2023-03-14,ND
2023-03-15,ND
2023-03-16,ND
2023-03-17,ND
2023-03-18,OFF
2023-03-19,OFF
2023-03-20,NOC
2023-03-21,NOC
2023-03-22,NOC
2023-03-23,NOC
2023-03-24,OFF
2023-03-25,OFF
2023-03-26,OFF
2023-03-27,OFF
2023-03-28,ND
2023-03-29,ND
2023-03-30,OFF
2023-03-31,NOC
2023-04-01,NOC
2023-04-02,NOC
2023-04-03,OFF
2023-04-04,OFF
2023-04-05,OFF
2023-04-06,OFF
2023-04-07,OFF
2023-04-08,OFF
2023-04-09,OFF
2023-04-10,ND
2023-04-11,ND
2023-04-12,ND
2023-04-13,ND
2023-04-14,ND
2023-04-15,OFF
2023-04-16,OFF
2023-04-17,ND
2023-04-18,ND
2023-04-19,ND
2023-04-20,ND
2023-04-21,ND
2023-04-22,OFF
2023-04-23,OFF
2023-04-24,DOC
2023-04-25,DOC
2023-04-26,OFF
2023-04-27,DOC
2023-04-28,DOC
2023-04-29,OFF
2023-04-30,OFF
2023-05-01,ND
2023-05-02,ND
2023-05-03,DOC
2023-05-04,OFF
2023-05-05,OFF
2023-05-06,DOC
2023-05-07,DOC
2023-05-08,OFF
2023-05-09,ND
2023-05-10,ND
2023-05-11,ND
2023-05-12,ND
2023-05-13,OFF
2023-05-14,OFF
2023-05-15,NOC
2023-05-16,NOC
2023-05-17,NOC
2023-05-18,NOC
2023-05-19,OFF
2023-05-20,OFF
2023-05-21,OFF
2023-05-22,OFF
2023-05-23,ND
2023-05-24,ND
2023-05-25,OFF
2023-05-26,NOC
2023-05-27,NOC
2023-05-28,NOC
2023-05-29,OFF
2023-05-30,OFF
2023-05-31,OFF
2023-06-01,OFF
2023-06-02,OFF
2023-06-03,OFF
2023-06-04,OFF
2023-06-05,ND
2023-06-06,ND
2023-06-07,ND
2023-06-08,ND
2023-06-09,ND
2023-06-10,OFF
2023-06-11,OFF
2023-06-12,ND
2023-06-13,ND
2023-06-14,ND
2023-06-15,ND
2023-06-16,ND
2023-06-17,OFF
2023-06-18,OFF
2023-06-19,DOC
2023-06-20,DOC
2023-06-21,OFF
2023-06-22,DOC
2023-06-23,DOC
2023-06-24,OFF
2023-06-25,OFF
2023-06-26,ND
2023-06-27,ND
2023-06-28,DOC
2023-06-29,OFF
2023-06-30,OFF
2023-07-01,DOC
2023-07-02,DOC
2023-07-03,OFF
2023-07-04,ND
2023-07-05,ND
2023-07-06,ND
2023-07-07,ND
2023-07-08,OFF
2023-07-09,OFF
2023-07-10,NOC
2023-07-11,NOC
2023-07-12,NOC
2023-07-13,NOC
2023-07-14,OFF
2023-07-15,OFF
2023-07-16,OFF
2023-07-17,OFF
2023-07-18,ND
2023-07-19,ND
2023-07-20,OFF
2023-07-21,NOC
2023-07-22,NOC
2023-07-23,NOC
2023-07-24,OFF
2023-07-25,OFF
2023-07-26,OFF
2023-07-27,OFF
2023-07-28,OFF
2023-07-29,OFF
2023-07-30,OFF
2023-07-31,ND
2023-08-01,ND